"Line Number","Keyword","Frequency"
"2703","Michael Isaacson",3
"2776","mountain lion",3
"2804","Music of the Spheres",3
"2808","Myra Finkelstein",3
"2814","nanopipette",3
"2815","nanopore",3
"2819","nanotechnology",3
"2830","NAS",3
"2847","National Medal of Science",3
"2852","natural history",3
"2890","new queer cinema",3
"2927","Noah Wardrip-Fruin",3
"2968","ocean acidification",3
"3017","optofluidics",3
"3087","parking",3
"3088","parking permits",3
"3100","pat zavella",3
"3158","Peter Young",3
"3176","philosophy",3
"3183","photography",3
"3193","physical and biological sciences",3
"3224","poet laureate",3
"3232","poetry news",3
"3271","Primary Care Physician Award",3
"3318","puma",3
"3334","quarter",3
"3359","Rainbow Theater",3
"3420","research funding",3
"3428","retention",3
"3451","ribosome",3
"3485","Robert Irion",3
"3491","robotic surgery",3
"3499","Roger Linington",3
"3533","SACNAS",3
"3538","sahni",3
"3611","Science Sunday",3
"3630","sea level rise",3
"3634","sea otter population",3
"3662","senate",3
"3680","Seymour Marine Discovery Center",3
"3699","shakespeare theater",3
"3752","Sloan Research Fellowship",3
"3784","social psychologist",3
"3883","stephen bruce",3
"3891","steve bruce",3
"3894","steve gliessman",3
"3917","strategic planning",3
"3923","Student Achievement Week",3
"3936","Student Volunteer Center",3
"4029","taps",3
"4034","task force",3
"4036","TCGA",3
"4057","television",3
"4078","The Campaign for",3
"4144","TMT",3
"4166","TOPP",3
"4210","ucop",3
"4238","university library",3
"4244","university relations",3
"4265","valentino",3
"4355","West Nile virus",3
"4397","WISSARD",3
"4400","women",3
"4404","women in engineering",3
"4407","women in physics",3
"4412","women's club",3
"4423","World University Rankings",3
"4426","writers",3
"4434","Yat Li",3
"4456","zimride",3
"13"," humanities",2
"36","2010",2
"42","2012",2
"56","2015",2
"57","2020",2
"63","4-20",2
"64","40 under 40",2
"68","50",2
"81","AAAS Fellows",2
"101","academic film programs",2
"124","active galactic nuclei",2
"132","admissions",2
"136","Adrienne Harrell",2
"140","advisory site",2
"154","AGU",2
"161","alan chadwick",2
"162","Alan Chadwick Garden",2
"178","Alexander Sher",2
"180","alison galloway",2
"191","alumni volunteer",2
"228","Andromeda",2
"237","Angela Davis",2
"251","Antarctic drilling",2
"257","anthroplogy",2
"267","applications",2
"270","appointments",2
"271","approval",2
"274","Aptheker",2
"279","arboretum",2
"285","architecture",2
"299","aronson",2
"310","art exhibits",2
"325","arts alumni",2
"326","arts and entertainment",2
"334","arts education",2
"335","arts events",2
"336","arts news",2
"343","ASL",2
"348","assistive technology",2
"349","astrobiology",2
"353","astronomy and astrophysics",2
"356","astrophysics simulations",2
"360","Atlantic magazine",2
"378","B. Ruby Rich",2
"379","b.f. skinner",2
"391","basketball",2
"392","baskin",2
"396","baskin school of engineering",2
"399","bat disease",2
"421","ben crow",2
"423","Benedict Paten",2
"426","Benjamin A. Gilman International Scholarship",2
"427","benjamin bratt",2
"444","bettina aptheker",2
"448","bias",2
"452","Big Bang",2
"461","Bill Atwood",2
"473","biofuel",2
"478","biomolecular engineering",2
"482","Bionics Lab",2
"489","Blood Drive",2
"506","boko haram",2
"509","bombing",2
"516","book arts",2
"530","Brandon Southall",2
"531","brandt",2
"533","brant",2
"537","breast cancer",2
"546","Brett Hall",2
"568","brown v. board of education",2
"570","Bruce Lyon",2
"571","Bruce Margon",2
"584","Burney Le Boeuf",2
"592","C-DEBI",2
"607","California coast",2
"630","California theater",2
"636","CAMP",2
"637","campaign",2
"674","Carnival Cruz",2
"678","carolyn dean",2
"679","Carolyn Porco",2
"682","Carson Watts",2
"691","Cassini",2
"703","celebration",2
"716","Center for Biomolecular Science and Engineering",2
"727","Center for Sustainable Energy and Power Systems",2
"733","Ceph",2
"744","chancellor blumenthal",2
"749","Chancellor's Associates",2
"752","charles dickens",2
"753","Charles Dickens",2
"757","Charlie Conroy",2
"759","Charlie McDowell",2
"767","chemistry",2
"779","China",2
"781","chinese history",2
"791","cholera biofilms",2
"795","Chris Crawford",2
"810","cioc",2
"812","citation impact",2
"821","City Year",2
"822","civil rights",2
"836","classics",2
"841","climate conference",2
"852","Coastal Biology",2
"864","college 10",2
"872","college nine",2
"874","colleges",2
"893","community service",2
"894","community studies",2
"900","Computational Media",2
"917","condors",2
"918","condors and lead",2
"926","Connie Rockosi",2
"947","Corinne Miller",2
"952","cosmic web",2
"955","counsel",2
"963","Cowell College",2
"964","Cowell Health Center",2
"969","craig haney",2
"977","CRES",2
"997","CSTAR",2
"1002","curriculum",2
"1016","dan friedman",2
"1020","dan roam",2
"1024","dana priest",2
"1044","danny scheie",2
"1057","Dave Thayer",2
"1061","David Deamer",2
"1067","David Huffman",2
"1072","david talbot",2
"1073","David Talbot",2
"1077","day by the bay",2
"1078","Day by the Bay",2
"1118","Deutron Kebebew",2
"1120","development",2
"1123","dickens project",2
"1128","Dickens Universe",2
"1136","Digital Arts and New Media",2
"1143","digital media",2
"1166","DNA sequencing",2
"1168","doctoral",2
"1178","Don Croll",2
"1180","Don Rothman",2
"1187","Donald Smith",2
"1200","Douglas N. C. Lin",2
"1209","drought",2
"1215","dwarf galaxies",2
"1222","EARTH A New Wild",2
"1225","earth sciences",2
"1226","earth summit",2
"1274","electrical engineering",2
"1284","elizabeth mckenzie",2
"1287","Elkaim",2
"1290","Elkhorn Slough National Estuarine Research Reserve",2
"1300","emeriti",2
